_id_,timeTaken,nps,County,State,Full Part Time,Gender,Ethnic Group Description,Date of Birth,age,age_group,Payment Frequency,Contract Type,concat,Prediction,recommendation
58e5315bd7aff30100ae187b,3031305,3,Livingston,NY,Full Time,Female,White,11/02/1992,26,1,Monthly,Fixed Term,Livingston_NY,85,1
58e2d32fa4f5930100cea76d,833945,3,Pickaway,OH,Full Time,Male,White,20/06/1983,35,2,Monthly,Permanent,Pickaway_OH,92,1
58e3fe94d7aff30100ae185c,909713,3,Lawrence,OH,Full Time,Male,White,26/07/1971,47,2,Monthly,Fixed Term,Lawrence_OH,17,0
58e2b9eaa4f5930100cea766,1548516,3,Logan,OK,Full Time,Female,White,30/06/1984,34,2,Monthly,Permanent,Logan_OK,39,0
58e64f57a4f5930100cea7e5,1111357,3,Cherokee,OK,Full Time,Female,White,21/04/1987,31,2,Monthly,Fixed Term,Cherokee_OK,93,1
58e79eeca4f5930100cea801,1413739,3,Bryan,OK,Full Time,Male,White,16/07/1987,31,2,Monthly,Permanent,Bryan_OK,76,1
58e294dca4f5930100cea74c,1789607,3,Clinton,PA,Part Time,Female,Chinese,17/09/1992,26,1,Monthly,Fixed Term,Clinton_PA,75,1
58e29715a4f5930100cea74f,2596545,3,Butler,PA,Full Time,Female,White,3/07/1992,26,1,Monthly,Permanent,Butler_PA,52,1
58e2a281d7aff30100ae17f3,1202579,3,Monroe,PA,Full Time,Female,White,28/09/1991,27,1,Monthly,Fixed Term,Monroe_PA,27,0
58e33620d7aff30100ae1813,1093204,3,Westmoreland,PA,Part Time,Male,White,23/06/1989,29,1,Monthly,Fixed Term,Westmoreland_PA,47,0
58e679c5d7aff30100ae1899,1729134,3,Lancaster,PA,Full Time,Female,White,12/01/1990,28,1,Monthly,Fixed Term,Lancaster_PA,100,1
58e77565d7aff30100ae18a5,1208959,3,Allegheny,PA,Full Time,Female,White,1/10/1992,26,1,Monthly,Fixed Term,Allegheny_PA,72,1
58e40517a4f5930100cea7b3,1197267,3,Hickman,TN,Part Time,Male,White,16/05/1991,27,1,Monthly,Fixed Term,Hickman_TN,26,0
58e39ddbd7aff30100ae183e,1020246,3,Gaines,TX,Full Time,Male,White,23/01/1991,27,1,Monthly,Fixed Term,Gaines_TX,72,1
58e7c1eca4f5930100cea80b,1172662,3,Tarrant,TX,Full Time,Female,White,1/03/1991,27,1,Monthly,Fixed Term,Tarrant_TX,72,1
58e52502a4f5930100cea7d0,1683985,3,Prince William,VA,Full Time,Female,Other,17/10/1988,30,1,Monthly,Fixed Term,Prince William_VA,29,0
58e60625d7aff30100ae187d,983803,3,Addison,VT,Full Time,Female,White,31/08/1990,28,1,Monthly,Permanent,Addison_VT,67,1
58e29af4d7aff30100ae17ef,1121730,3,Wayne,WV,Full Time,Female,White,2/09/1989,29,1,Monthly,Permanent,Wayne_WV,43,0
58e2abb9a4f5930100cea75b,954600,4,Geneva,AL,Full Time,Male,White,14/05/1990,28,1,Monthly,Fixed Term,Geneva_AL,47,0
58e38fd4a4f5930100cea78f,961303,4,Saint Francis,AR,Part Time,Female,White,1/09/1986,32,2,Monthly,Fixed Term,Saint Francis_AR,84,1
58e51fb5a4f5930100cea7cd,1021156,4,Clark,AR,Full Time,Male,Asian or Asian British,19/09/1977,41,2,Monthly,Fixed Term,Clark_AR,49,0
58e662eda4f5930100cea7ea,3025637,4,San Mateo,CA,Full Time,Female,White,23/02/1965,53,2,Monthly,Permanent,San Mateo_CA,86,1
58e356c1d7aff30100ae181c,1263547,4,Arapahoe,CO,Full Time,Female,Black or Black British,18/05/1983,35,2,Monthly,Permanent,Arapahoe_CO,63,1
58e38546a4f5930100cea78b,52862380,4,Hernando,FL,Full Time,Female,White,9/04/1993,25,1,Monthly,Permanent,Hernando_FL,58,1
58e3d5c9a4f5930100cea7aa,1096959,4,Miami-Dade,FL,Full Time,Female,Other,8/10/1981,37,2,Monthly,Fixed Term,Miami-Dade_FL,19,0
58e4f59ad7aff30100ae186e,747562,4,Brevard,FL,Full Time,Female,Black or Black British,17/06/1987,31,2,Monthly,Fixed Term,Brevard_FL,98,1
58e56efea4f5930100cea7d5,1444109,4,Sarasota,FL,Full Time,Male,Chinese,9/09/1988,30,1,Monthly,Permanent,Sarasota_FL,21,0
58e4102fd7aff30100ae1860,1227910,4,Chatham,GA,Full Time,Female,White,1/03/1993,25,1,Monthly,Permanent,Chatham_GA,60,1
58e7735ba4f5930100cea7fb,4487611,4,Walton,GA,Full Time,Male,White,27/02/1990,28,1,Monthly,Permanent,Walton_GA,51,1
58e3dcfad7aff30100ae1857,885686,4,Clayton,IA,Full Time,Male,White,13/12/1990,28,1,Monthly,Fixed Term,Clayton_IA,80,1
58e68676d7aff30100ae189b,5650575,4,Osceola,IA,Part Time,Male,White,24/10/1993,25,1,Monthly,Fixed Term,Osceola_IA,94,1
58e40785a4f5930100cea7b4,732829,4,Macoupin,IL,Full Time,Female,Chinese,3/09/1985,33,2,Monthly,Fixed Term,Macoupin_IL,87,1
58e4e875a4f5930100cea7c5,2277784,4,Cumberland,ME,Part Time,Female,White,27/12/1991,27,1,Monthly,Fixed Term,Cumberland_ME,92,1
58e64ee7a4f5930100cea7e4,2371379,4,Gratiot,MI,Part Time,Male,White,6/01/1994,24,1,Monthly,Fixed Term,Gratiot_MI,78,1
58e2cd0bd7aff30100ae180e,2067369,4,Polk,MN,Part Time,Female,White,5/02/1996,22,1,Monthly,Fixed Term,Polk_MN,15,0
58e613d3d7aff30100ae1881,879248,4,Silver Bow,MT,Full Time,Male,White,2/01/1996,22,1,Monthly,Fixed Term,Silver Bow_MT,86,1
58e35e9dd7aff30100ae1820,847562,4,Dare,NC,Full Time,Female,White,1/09/1966,52,2,Monthly,Fixed Term,Dare_NC,84,1
58e7dd77d7aff30100ae18b7,1373792,4,Dawson,NE,Part Time,Male,American Ethnicities,23/05/1993,25,1,Monthly,Permanent,Dawson_NE,90,1
58e51285a4f5930100cea7cb,84035715,4,Strafford,NH,Part Time,Male,Not Divulged,18/10/1990,28,1,Monthly,Fixed Term,Strafford_NH,57,1
58e34300d7aff30100ae1815,1137233,4,Somerset,NJ,Full Time,Male,White,25/05/1987,31,2,Monthly,Fixed Term,Somerset_NJ,60,1
58e6602bd7aff30100ae1896,1699375,4,Cumberland,NJ,Full Time,Male,White,25/02/1992,26,1,Monthly,Fixed Term,Cumberland_NJ,18,0
58e2c46fa4f5930100cea76a,964728,4,Orange,NY,Part Time,Female,White,21/10/1990,28,1,Monthly,Fixed Term,Orange_NY,10,0
58e36839a4f5930100cea783,1329883,4,Onondaga,NY,Full Time,Male,White,9/10/1990,28,1,Monthly,Fixed Term,Onondaga_NY,56,1
58e50d10a4f5930100cea7ca,5040928,4,Cuyahoga,OH,Part Time,Female,Mixed,31/10/1992,26,1,Monthly,Fixed Term,Cuyahoga_OH,82,1
58e6715ca4f5930100cea7ec,976892,4,Muskingum,OH,Part Time,Female,White,20/03/1981,37,2,Monthly,Fixed Term,Muskingum_OH,77,1
58e38dacd7aff30100ae1835,1059681,4,Lane,OR,Full Time,Male,White,11/01/1993,25,1,Monthly,Permanent,Lane_OR,70,1
58e29b17a4f5930100cea751,1346599,4,Mifflin,PA,Full Time,Male,Black or Black British,21/04/1987,31,2,Monthly,Fixed Term,Mifflin_PA,47,0
58e2ab5dd7aff30100ae17f7,1293539,4,Butler,PA,Full Time,Male,White,22/02/1983,35,2,Monthly,Fixed Term,Butler_PA,52,1
58e36222d7aff30100ae1822,3906208,4,Perry,PA,Full Time,Female,White,23/10/1976,42,2,Monthly,Permanent,Perry_PA,30,0
58e36ba7d7aff30100ae1828,1267906,4,Cambria,PA,Part Time,Female,Other,17/01/1990,28,1,Monthly,Permanent,Cambria_PA,61,1
58e37308d7aff30100ae182c,3911473,4,Erie,PA,Full Time,Male,White,27/08/1983,35,2,Monthly,Temporary,Erie_PA,100,1
58e3baa6d7aff30100ae184c,78008356,4,Schuylkill,PA,Full Time,Male,White,30/11/1992,26,1,Monthly,Fixed Term,Schuylkill_PA,66,1
58e4c496d7aff30100ae1865,1312220,4,Allegheny,PA,Full Time,Male,White,13/04/1988,30,1,Monthly,Permanent,Allegheny_PA,72,1
58e4dd01d7aff30100ae186b,1321550,4,Columbia,PA,Part Time,Male,White,16/11/1994,24,1,Monthly,Permanent,Columbia_PA,17,0
58e51c38a4f5930100cea7cc,1755696,4,Washington,PA,Full Time,Male,White,5/08/1996,22,1,Monthly,Permanent,Washington_PA,12,0
58e690dba4f5930100cea7f2,1300351,4,Schuylkill,PA,Full Time,Female,White,8/09/1987,31,2,Monthly,Permanent,Schuylkill_PA,66,1
58e7b136a4f5930100cea806,1708422,4,Allegheny,PA,Full Time,Female,White,30/06/1992,26,1,Monthly,Permanent,Allegheny_PA,72,1
58e4ca5ed7aff30100ae1866,76333893,4,White,TN,Full Time,Male,Black or Black British,22/02/1985,33,2,Monthly,Fixed Term,White_TN,41,0
58e7b725a4f5930100cea809,1954184,4,Roane,TN,Full Time,Male,White,2/06/1982,36,2,Monthly,Fixed Term,Roane_TN,93,1
58e2b2ccd7aff30100ae17ff,1447305,4,Freestone,TX,Full Time,Female,White,24/04/1988,30,1,Monthly,Fixed Term,Freestone_TX,58,1
58e629d3a4f5930100cea7de,1780777,4,Harris,TX,Full Time,Female,White,27/12/1984,34,2,Monthly,Fixed Term,Harris_TX,65,1
58e35904a4f5930100cea777,1245843,4,Southampton,VA,Full Time,Male,Chinese,8/06/1989,29,1,Monthly,Fixed Term,Southampton_VA,10,0
58e5089ea4f5930100cea7c9,1543445,4,Marathon,WI,Part Time,Female,Black or Black British,8/06/1992,26,1,Monthly,Fixed Term,Marathon_WI,55,1
58e37339a4f5930100cea786,1089469,4,Lincoln,WY,Full Time,Male,White,26/11/1991,27,1,Monthly,Fixed Term,Lincoln_WY,28,0
58e2c0e4a4f5930100cea768,1399290,5,Riverside,CA,Part Time,Female,White,14/01/1988,30,1,Monthly,Fixed Term,Riverside_CA,36,0
58e4aad0a4f5930100cea7b8,879138,5,Sierra,CA,Full Time,Male,Black or Black British,22/02/1988,30,1,Monthly,Fixed Term,Sierra_CA,38,0
58e79071d7aff30100ae18a8,1667594,5,San Luis Obispo,CA,Part Time,Male,White,28/04/1996,22,1,Monthly,Fixed Term,San Luis Obispo_CA,20,0
58e3a2cbd7aff30100ae1841,4093097,5,Kit Carson,CO,Full Time,Female,White,1/08/1991,27,1,Monthly,Temporary,Kit Carson_CO,15,0
58e2985ad7aff30100ae17ec,920614,5,Sussex,DE,Full Time,Male,White,19/06/1989,29,1,Monthly,Fixed Term,Sussex_DE,99,1
58e615b4d7aff30100ae1882,1156109,5,Orange,FL,Full Time,Male,White,9/06/1976,42,2,Monthly,Fixed Term,Orange_FL,94,1
58e2b508a4f5930100cea764,1388487,5,Jasper,IA,Part Time,Female,Black or Black British,16/12/1985,33,2,Monthly,Fixed Term,Jasper_IA,20,0
58e760a2a4f5930100cea7f6,1759270,5,Delaware,IN,Part Time,Male,Black or Black British,1/03/1993,25,1,Monthly,Fixed Term,Delaware_IN,4,0
58e39cc0a4f5930100cea793,1153877,5,Sedgwick,KS,Full Time,Male,White,2/11/1992,26,1,Monthly,Fixed Term,Sedgwick_KS,38,0
58e6ada1a4f5930100cea7f4,931521,5,Pointe Coupee,LA,Part Time,Male,White,6/03/1995,23,1,Monthly,Fixed Term,Pointe Coupee_LA,69,1
58e29d1ba4f5930100cea752,3193425,5,Norfolk,MA,Full Time,Female,White,17/10/1989,29,1,Monthly,Fixed Term,Norfolk_MA,37,0
58e34b60a4f5930100cea770,1551488,5,Middlesex,MA,Part Time,Female,White,5/12/1995,23,1,Monthly,Fixed Term,Middlesex_MA,36,0
58e39a04d7aff30100ae183d,1412403,5,Calvert,MD,Full Time,Male,White,3/07/1989,29,1,Monthly,Fixed Term,Calvert_MD,39,0
58e3c563a4f5930100cea7a3,1912914,5,Allegany,MD,Full Time,Female,White,17/12/1993,25,1,Monthly,Permanent,Allegany_MD,2,0
58e37ab4a4f5930100cea78a,5263509,5,Oxford,ME,Full Time,Male,Chinese,26/11/1990,28,1,Monthly,Permanent,Oxford_ME,22,0
58e3be04a4f5930100cea7a1,1029942,5,Penobscot,ME,Full Time,Male,White,3/11/1990,28,1,Monthly,Permanent,Penobscot_ME,27,0
58e76d67a4f5930100cea7fa,1210773,5,Aroostook,ME,Full Time,Female,White,27/03/1994,24,1,Monthly,Permanent,Aroostook_ME,3,0
58e500cfd7aff30100ae1872,1117236,5,Bay,MI,Full Time,Female,White,3/09/1996,22,1,Monthly,Permanent,Bay_MI,58,1
58e519fdd7aff30100ae1877,1123670,5,Oakland,MI,Full Time,Female,White,23/07/1986,32,2,Monthly,Permanent,Oakland_MI,68,1
58e6341cd7aff30100ae1886,2482714,5,Livingston,MI,Full Time,Male,White,17/06/1993,25,1,Monthly,Permanent,Livingston_MI,3,0
58e7ac97a4f5930100cea804,1187307,5,Cheboygan,MI,Full Time,Female,White,23/06/1986,32,2,Monthly,Permanent,Cheboygan_MI,46,0
58e3734dd7aff30100ae182d,1126456,5,Martin,MN,Part Time,Female,White,15/03/1994,24,1,Monthly,Agency Temp,Martin_MN,46,0
58e3f894d7aff30100ae1859,1252161,5,Lake,MN,Part Time,Female,Asian or Asian British,27/12/1991,27,1,Monthly,Permanent,Lake_MN,54,1
58e680dea4f5930100cea7ef,1407510,5,Red Lake,MN,Part Time,Female,White,12/09/1995,23,1,Monthly,Contractor,Red Lake_MN,20,0
58e65e62a4f5930100cea7e8,913686,5,Saint Louis,MO,Part Time,Female,White,25/01/1980,38,2,Monthly,Permanent,Saint Louis_MO,58,1
58e3a877a4f5930100cea797,3123633,5,Hinds,MS,Full Time,Male,White,16/08/1988,30,1,Monthly,Permanent,Hinds_MS,67,1
58e28ffcd7aff30100ae17e6,1254601,5,Currituck,NC,Full Time,Male,White,11/03/1991,27,1,Monthly,Fixed Term,Currituck_NC,52,1
58e3a924a4f5930100cea798,5841498,5,Henderson,NC,Full Time,Female,White,8/11/1990,28,1,Monthly,Permanent,Henderson_NC,68,1
58e52e5bd7aff30100ae187a,12065811,5,Harnett,NC,Part Time,Female,White,14/02/1989,29,1,Monthly,Permanent,Harnett_NC,63,1
58e619a1a4f5930100cea7da,1746739,5,Cleveland,NC,Part Time,Female,White,28/10/1991,27,1,Monthly,Fixed Term,Cleveland_NC,75,1
58e65fcda4f5930100cea7e9,1239214,5,Henderson,NC,Part Time,Female,White,7/09/1992,26,1,Monthly,Fixed Term,Henderson_NC,68,1
58e7827ad7aff30100ae18a6,3593994,5,Alamance,NC,Part Time,Male,White,11/02/1993,25,1,Monthly,Fixed Term,Alamance_NC,76,1
58e7b4b5d7aff30100ae18b1,1626212,5,Northampton,NC,Full Time,Male,White,21/12/1990,28,1,Monthly,Fixed Term,Northampton_NC,3,0
58e3ad26d7aff30100ae1843,3045500,5,Carroll,NH,Full Time,Female,White,30/09/1987,31,2,Monthly,Fixed Term,Carroll_NH,16,0
58e2a71ad7aff30100ae17f6,2022770,5,Monmouth,NJ,Part Time,Female,White,2/09/1989,29,1,Monthly,Permanent,Monmouth_NJ,37,0
58e2b412a4f5930100cea761,1743395,5,Burlington,NJ,Part Time,Male,White,24/09/1990,28,1,Monthly,Permanent,Burlington_NJ,98,1
58e75c5ed7aff30100ae18a0,78080632,5,Bergen,NJ,Full Time,Male,White,6/04/1992,26,1,Monthly,Fixed Term,Bergen_NJ,24,0
58e781c8a4f5930100cea7fc,1388565,5,Essex,NJ,Full Time,Male,White,11/09/1986,32,2,Monthly,Fixed Term,Essex_NJ,58,1
58e69fbfd7aff30100ae189d,812880,5,Valencia,NM,Part Time,Female,Black or Black British,30/10/1989,29,1,Monthly,Permanent,Valencia_NM,52,1
58e29983d7aff30100ae17ed,2204710,5,Schenectady,NY,Full Time,Male,White,19/11/1991,27,1,Monthly,Fixed Term,Schenectady_NY,79,1
58e36669a4f5930100cea77f,924430,5,Nassau,NY,Part Time,Male,White,24/03/1986,32,2,Monthly,Permanent,Nassau_NY,93,1
58e3820cd7aff30100ae1834,2330392,5,Tioga,NY,Full Time,Female,White,10/03/1985,33,2,Monthly,Permanent,Tioga_NY,85,1
58e3d656a4f5930100cea7ab,794439,5,Jefferson,NY,Part Time,Female,White,29/05/1994,24,1,Monthly,Permanent,Jefferson_NY,88,1
58e4f944d7aff30100ae186f,3074599,5,Genesee,NY,Full Time,Female,White,20/08/1972,46,2,Monthly,Permanent,Genesee_NY,56,1
58e5b526a4f5930100cea7d6,1376129,5,Delaware,NY,Part Time,Male,White,26/02/1990,28,1,Monthly,Permanent,Delaware_NY,49,0
58e4fb28d7aff30100ae1870,2226546,5,Logan,OH,Full Time,Male,White,29/06/1991,27,1,Monthly,Permanent,Logan_OH,28,0
58e7ded1d7aff30100ae18b9,1719618,5,Grady,OK,Part Time,Male,American Ethnicities,27/01/1990,28,1,2-Weekly,Permanent,Grady_OK,3,0
58e291baa4f5930100cea748,1132338,5,Yamhill,OR,Part Time,Female,White,13/08/1991,27,1,Monthly,Fixed Term,Yamhill_OR,95,1
58e35125a4f5930100cea774,1212771,5,Jefferson,PA,Part Time,Female,White,25/01/1994,24,1,Monthly,Student (Dual),Jefferson_PA,55,1
58e3d1d1a4f5930100cea7a9,1410030,5,Chester,PA,Part Time,Female,White,29/11/1995,23,1,Monthly,Permanent,Chester_PA,74,1
58e40204d7aff30100ae185e,1021773,5,Lycoming,PA,Full Time,Female,White,22/01/1990,28,1,Monthly,Fixed Term,Lycoming_PA,37,0
58e40322a4f5930100cea7b2,1757908,5,Cambria,PA,Full Time,Female,White,2/07/1984,34,2,Monthly,Temporary,Cambria_PA,61,1
58e64736d7aff30100ae1891,1036335,5,Westmoreland,PA,Full Time,Female,White,25/03/1992,26,1,Monthly,Fixed Term,Westmoreland_PA,47,0
58e797b8a4f5930100cea800,1631353,5,Huntingdon,PA,Full Time,Male,White,18/07/1992,26,1,Monthly,Fixed Term,Huntingdon_PA,95,1
